[RUN] passes=5 max_updates=120 delay_ms=1100
[RUN] pass 1/5 started...
Loading provinces/districts...
Loading POIs...
POI loaded: 27008
Mismatch candidates: 989
[1] St. Simon Manastırı | Hatay: - -> Defne
[4] CENNET KOYU MANZARA CAFE & RESTAURANT | Zonguldak: - -> Alaplı
[5] Palm Beach Otel Küçükkuyu | Çanakkale: - -> Ayvacık
[6] Babalı Plajı | Kocaeli: - -> Kandıra
[7] Mirel Hotel | Konya: - -> Ereğli
[8] Danamusa Koyu | Antalya: - -> Demre
[9] Urla Sahne | İzmir: - -> Urla
[10] Çukurova Park Otel | Adana: - -> Seyhan
[11] Saitabat Şelalesi | Bursa: - -> Kestel
[12] Barış Ve Özgürlük Parkı | Tekirdağ: - -> Süleymanpaşa
[13] KÖYLÜM ETLİ EKMEK VE SULU YEMEK LOKANTASI SULTANHANI | Aksaray: - -> Sultanhanı
[14] Assos Örenyeri | Çanakkale: - -> Ayvacık
[15] Polka Kafe | İstanbul: - -> Kadıköy
[16] Andırın Minareli Asma Köprü | Kahramanmaraş: - -> Andırın
[17] Helen İda Yedi Masal Bungalow Evleri | Çanakkale: - -> Ayvacık
[18] KELLE TİME ŞELALESİ SUSUZ/KARS | Kars: - -> Susuz
[19] Cumalıkızık Köyü | Bursa: - -> Yıldırım
[20] Konal Kahvaltı | İzmir: - -> Urla
[21] Liman Kebap | Hatay: - -> İskenderun
[22] Hacı Arif Lokantası | Sakarya: - -> Adapazarı
[23] Gülburnu Kamyoncular Dinlenme Tesisi | Giresun: - -> Espiye
[24] GÖLBAŞI ŞEHİR PARKI | Ankara: - -> Gölbaşı
[25] İznik Kalesi | Bursa: - -> İznik
[26] Şişçi Nori Meşhur Burdur Şiş | Burdur: - -> Karamanlı
[27] Maslak Kasırları | İstanbul: - -> Sarıyer
[28] Hamlakit | Ankara: - -> Gölbaşı
[29] konyalı hacı usta pide salonu | Niğde: - -> Ulukışla
[30] Walter's Coffee Roastery | İstanbul: - -> Kadıköy
[31] Alaplı Parkı | Zonguldak: - -> Alaplı
